title,genre
Avengers,Action Sci-Fi
Iron Man,Action Sci-Fi
Captain America,Action Adventure
Thor,Action Fantasy
Batman,Action Crime
The Dark Knight,Action Crime
Interstellar,Sci-Fi Drama
Inception,Sci-Fi Thriller
Titanic,Romance Drama
The Notebook,Romance Drama
La La Land,Romance Musical
Frozen,Animation Family
Toy Story,Animation Comedy
Finding Nemo,Animation Adventure
The Lion King,Animation Drama
Joker,Crime Drama
Shutter Island,Thriller Mystery
Doctor Strange,Action Fantasy
Black Panther,Action Adventure
Spider-Man,Action Adventure
